19454415122
0, 13, 17, 1, 3, 0, 1, 4, 513
1, 14, 16, 2, 3, 0, 1, 3, 513
2, 17, 13, 1, 3, 0, 1, 3, 513
3, 13, 17, 2, 3, 0, 1, 4, 514
4, 18, 12, 4, 1, 1, 1, 3, 512
5, 11, 19, 6, 0, 0, 8, 2, 513
6, 22, 8, 3, 2, 1, 1, 3, 514
7, 19, 11, 3, 2, 2, 8, 1, 514
8, 23, 7, 4, 1, 2, 8, 0, 0
9, 14, 16, 3, 1, 2, 8, 2, 513
10, 13, 17, 3, 2, 2, 8, 2, 514
11, 11, 19, 6, 0, 0, 0, 3, 514
12, 21, 9, 2, 3, 0, 1, 3, 511
13, 19, 11, 4, 2, 0, 8, 2, 512
14, 23, 7, 2, 3, 2, 1, 3, 511
15, 15, 15, 5, 0, 0, 8, 2, 514
16, 19, 11, 4, 2, 0, 8, 2, 514
17, 18, 12, 5, 0, 1, 8, 2, 514
18, 14, 16, 5, 0, 0, 8, 3, 513
19, 21, 9, 3, 2, 3, 8, 2, 514
20, 21, 9, 5, 0, 0, 8, 1, 514
21, 19, 11, 3, 2, 0, 8, 2, 514
22, 20, 10, 5, 0, 0, 0, 1, 513
23, 19, 11, 5, 0, 2, 8, 2, 512
24, 14, 16, 5, 0, 1, 8, 3, 513
25, 15, 15, 2, 3, 2, 8, 2, 514
26, 20, 10, 5, 0, 2, 8, 3, 513
27, 21, 9, 5, 0, 2, 0, 2, 514
28, 20, 10, 5, 0, 1, 0, 2, 514
29, 13, 17, 6, 0, 1, 8, 2, 512
30, 22, 8, 5, 0, 2, 8, 2, 514
31, 20, 10, 4, 1, 0, 8, 2, 514
