Serial_number,Name,Bat_id
17106917,Tag1,09776
17106926,Tag2,14406
17107055,Tag3,14447
17106969,Tag4,14528
17106904,Tag5,14768
17105236,TY1,32649
17105189,TY2,14446
17105075,TY3,14541
17105184,TY4,14552
17105080,TY5,14561
17105253,NP1,32630
17105850,NP2,71050
