19454415041
0, 9, 21, 4, 1, 2, 1, 3, 514
1, 14, 16, 5, 0, 0, 8, 1, 514
2, 9, 21, 2, 3, 2, 1, 4, 513
3, 13, 17, 4, 2, 3, 1, 3, 514
4, 9, 21, 5, 0, 0, 0, 3, 511
5, 20, 10, 2, 3, 1, 1, 2, 512
6, 19, 11, 6, 0, 0, 8, 2, 510
7, 13, 17, 5, 0, 2, 8, 2, 511
8, 22, 8, 2, 3, 2, 0, 1, 514
9, 20, 10, 1, 3, 1, 1, 2, 514
10, 13, 17, 6, 0, 2, 0, 3, 513
11, 11, 19, 2, 3, 1, 1, 4, 514
12, 23, 7, 4, 1, 3, 8, 1, 513
13, 13, 17, 2, 3, 2, 1, 3, 512
14, 10, 20, 5, 0, 2, 8, 4, 514
15, 22, 8, 2, 3, 1, 1, 2, 512
16, 11, 19, 4, 1, 3, 8, 3, 514
17, 18, 12, 2, 3, 2, 8, 2, 513
18, 14, 16, 4, 2, 3, 8, 3, 514
19, 14, 16, 6, 0, 1, 1, 3, 513
20, 26, 4, 1, 3, 1, 8, 2, 513
21, 21, 9, 4, 2, 0, 1, 3, 513
22, 13, 17, 4, 2, 3, 8, 4, 511
23, 14, 16, 1, 3, 3, 1, 3, 513
24, 15, 15, 5, 0, 2, 8, 2, 514
25, 12, 18, 6, 0, 2, 0, 2, 514
26, 14, 16, 6, 0, 1, 8, 3, 513
27, 21, 9, 1, 3, 1, 0, 2, 511
28, 23, 7, 1, 3, 1, 1, 2, 511
29, 22, 8, 1, 3, 2, 8, 2, 514
30, 21, 9, 6, 0, 1, 8, 2, 514
31, 21, 9, 3, 1, 0, 8, 2, 512
