19454415151
0, 10, 20, 5, 0, 0, 0, 2, 513
1, 15, 15, 1, 3, 0, 1, 4, 512
2, 12, 18, 3, 2, 1, 0, 2, 514
3, 22, 8, 4, 2, 3, 1, 4, 512
4, 14, 16, 1, 3, 0, 1, 3, 513
5, 21, 9, 4, 1, 2, 0, 1, 511
6, 14, 16, 3, 2, 2, 1, 3, 514
7, 7, 23, 2, 3, 0, 0, 3, 513
8, 11, 19, 4, 1, 2, 1, 4, 514
9, 11, 19, 3, 1, 1, 1, 4, 514
10, 14, 16, 1, 3, 0, 0, 2, 514
11, 18, 12, 6, 0, 0, 0, 2, 513
12, 22, 8, 2, 3, 0, 1, 2, 512
13, 13, 17, 4, 1, 3, 0, 3, 514
14, 18, 12, 4, 2, 3, 1, 3, 513
15, 21, 9, 1, 3, 2, 8, 1, 514
16, 18, 12, 1, 3, 1, 8, 1, 513
17, 19, 11, 6, 0, 0, 0, 2, 514
18, 25, 5, 2, 3, 0, 0, 1, 512
19, 19, 11, 2, 3, 2, 0, 3, 514
20, 22, 8, 1, 3, 1, 1, 2, 512
21, 13, 17, 3, 1, 2, 0, 3, 514
22, 22, 8, 4, 2, 3, 1, 2, 513
23, 14, 16, 2, 3, 2, 0, 3, 514
24, 12, 18, 3, 1, 2, 0, 2, 514
25, 20, 10, 6, 0, 1, 0, 1, 514
26, 18, 12, 1, 3, 2, 0, 2, 512
27, 14, 16, 1, 3, 1, 0, 3, 514
28, 20, 10, 3, 1, 2, 0, 2, 514
29, 22, 8, 3, 1, 2, 0, 2, 513
30, 22, 8, 4, 2, 3, 0, 2, 513
31, 29, 1, 5, 0, 2, 0, 2, 512
